formulaTypeID,sequence,mathematicalFormula,language,languageVersion,key
FT128_1,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>e</mi> <mrow> <mi>x</mi> <mi>i</mi> </mrow> </msub> <mo>=</mo> <msub> <mi>x</mi> <mrow> <mi>m</mi> <mi>i</mi> </mrow> </msub> <mo>-</mo> <msub> <mi>x</mi> <mrow> <mi>t</mi> <mi>i</mi> </mrow> </msub></math>

<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>e</mi> <mrow> <mi>y</mi> <mi>i</mi> </mrow> </msub> <mo>=</mo> <msub> <mi>y</mi> <mrow> <mi>m</mi> <mi>i</mi> </mrow> </msub> <mo>-</mo> <msub> <mi>y</mi> <mrow> <mi>t</mi> <mi>i</mi> </mrow> </msub></math>

<math xmlns=""http://www.w3.org/1998/Math/MathML""> <msub> <mi>e</mi> <mrow> <mi>z</mi> <mi>i</mi> </mrow> </msub> <mo>=</mo> <msub> <mi>z</mi> <mrow> <mi>m</mi> <mi>i</mi> </mrow> </msub> <mo>-</mo> <msub> <mi>z</mi> <mrow> <mi>t</mi> <mi>i</mi> </mrow> </msub></math>",MathML,1.0,Calculation of single deviations.
FT128_2,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>a</mi> <mi>x</mi> </msub> <mo>=</mo> <mfrac> <munder> <mo>∑</mo> <msub> <mi>e</mi> <mrow> <mi>x</mi> <mi>i</mi> </mrow> </msub> </munder> <msub> <mi>N</mi> <mi>x</mi> </msub> </mfrac></math>

<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>a</mi> <mi>y</mi> </msub> <mo>=</mo> <mfrac> <munder> <mo>∑</mo> <msub> <mi>e</mi> <mrow> <mi>y</mi> <mi>i</mi> </mrow> </msub> </munder> <msub> <mi>N</mi> <mi>y</mi> </msub> </mfrac></math>

<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>a</mi> <mi>z</mi> </msub> <mo>=</mo> <mfrac> <munder> <mo>∑</mo> <msub> <mi>e</mi> <mrow> <mi>z</mi> <mi>i</mi> </mrow> </msub> </munder> <msub> <mi>N</mi> <mi>z</mi> </msub>

<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>a</mi> <mrow> <mn>2</mn> <mi>D</mi> </mrow> </msub> <mo>=</mo> <msqrt> <msubsup> <mi>a</mi> <mi>x</mi> <mn>2</mn> </msubsup> <mo>+</mo> <msubsup> <mi>a</mi> <mi>y</mi> <mn>2</mn> </msubsup> </msqrt></math>

<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>a</mi> <mrow> <mn>3</mn> <mi>D</mi> </mrow> </msub> <mo>=</mo> <msqrt> <msubsup> <mi>a</mi> <mi>x</mi> <mn>2</mn> </msubsup> <mo>+</mo> <msubsup> <mi>a</mi> <mi>y</mi> <mn>2</mn> </msubsup> <mo>+</mo> <msubsup> <mi>a</mi> <mi>z</mi> <mn>2</mn> </msubsup> </msqrt></math>",MathML,1.0,Calculation of biases.
FT28,1.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>e</mi><mi>i</mi></msub><mo>=</mo><mfenced close=""|"" open=""|""><mrow><msub><mi>x</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>x</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub></mrow></mfenced></math>",MathML,1.0,"For a number of points (N), the measured positions are given as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding set of coordinates, xti , yti and zti , are considered to represent the true positions. Formula for 1D positional uncertainty."
FT28,2.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>e</mi><mi>i</mi></msub><mo>=</mo><msqrt><msup><mrow><mo>(</mo><msub><mi>x</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>x</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><msup><mrow><mo>(</mo><msub><mi>y</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>y</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub><mo>)</mo></mrow><mn>2</mn></msup></msqrt></math>",MathML,1.0,"For a number of points (N), the measured positions are given as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding set of coordinates, xti , yti and zti , are considered to represent the true positions. Formula for 2D positional uncertainty."
FT28,3.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>e</mi><mi>i</mi></msub><mo>=</mo><msqrt><msup><mrow><mo>(</mo><msub><mi>x</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>x</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><msup><mrow><mo>(</mo><msub><mi>y</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>y</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><msup><mrow><mo>(</mo><msub><mi>z</mi><mrow><mi>m</mi><mi>i</mi></mrow></msub><mo>-</mo><msub><mi>z</mi><mrow><mi>t</mi><mi>i</mi></mrow></msub><mo>)</mo></mrow><mn>2</mn></msup></msqrt></math>",MathML,1.0,"For a number of points (N), the measured positions are given as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A criterion for the establishing of correspondence should also be stated (e.g. allowing for correspondence to the closest position, correspondence on vertices or along lines).  The criterion/criteria for finding the corresponding points shall be reported with  the data quality evaluation result. A corresponding set of coordinates, xti , yti and zti , are considered to represent the true positions. Formula for 3D positional uncertainty."
FT28,4.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><menclose notation=""top""><mi>e</mi></menclose><mo>=</mo><mfrac><mn>1</mn><mi>N</mi></mfrac><munderover><mo>∑</mo><mrow><mi>i</mi><mo>=</mo><mn>1</mn></mrow><mi>N</mi></munderover><msub><mi>e</mi><mi>i</mi></msub></math>",MathML,1.0,Formula for calculating the mean positional uncertainties of the horizontal absolute or external positions.
FT29,1.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>e</mi> <mi>i</mi> </msub> <mo>=</mo> <mfenced close="""" open=""{""> <mtable columnalign=""left""> <mtr> <mtd> <msub> <mi>e</mi> <mi>i</mi> </msub> <mo>,</mo> <mo></mo> <mi>i</mi> <mi>f</mi> <mo></mo> <msub> <mi>e</mi> <mi>i</mi> </msub> <mo>≤</mo> <msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi> <mi>x</mi> </mrow> </msub> </mtd> </mtr> <mtr> <mtd> <mn>0</mn> <mo>,</mo> <mo></mo> <mi>i</mi> <mi>f</mi> <mo></mo> <msub> <mi>e</mi> <mi>i</mi> </msub> <mo>&gt;</mo> <msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi> <mi>x</mi> </mrow> </msub> </mtd> </mtr> </mtable> </mfenced></math>",MathML,1.0,"For a number of points (N), the measured positions are given as as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding set of coordinates, xti , yti and zti  are considered to represent the true positions. All positional uncertainties above a defined threshold emax are then removed from the set. An outlier (emax) can be considered as blunders or gross errors or use the principle . "
FT29,2.0,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <menclose notation=""top""> <mi>e</mi> </menclose> <mrow> <mi>e</mi> <mi>x</mi> <mi>l</mi> <mi>u</mi> <mi>d</mi> <mi>i</mi> <mi>n</mi> <mi>g</mi> <mo></mo> <mi>o</mi> <mi>u</mi> <mi>t</mi> <mi>l</mi> <mi>i</mi> <mi>e</mi> <mi>r</mi> <mi>s</mi> </mrow> </msub> <mo>=</mo> <mfrac> <mn>1</mn> <msub> <mi>N</mi> <mi>R</mi> </msub> </mfrac> <munderover> <mo>∑</mo> <mrow> <mi>i</mi> <mo>=</mo> <mn>1</mn> </mrow> <mi>N</mi> </munderover> <msubsup> <mi>e</mi> <mi>i</mi> <mo>,</mo> </msubsup></math>",MathML,1.0,Formula for calculation of the mean of the horizontal absolute positions of the remaining number of errors (NR).
FT30,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi> <mi>x</mi> </mrow> </msub><msub> <mi>e</mi> <mi>i</mi> </msub> <mo>&gt;</mo> <msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi><mi>x</mi> </mrow> </msub></math>",MathML,1.0,"For a number of points (N), the measured positions are given as as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding set of coordinates, xti , yti and zti are considered to represent the true positions. 
All positional uncertainties above a defined threshold are then counted as error."
FT31,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi> <mi>x</mi> </mrow> </msub><msub> <mi>e</mi> <mi>i</mi> </msub> <mo>&gt;</mo> <msub> <mi>e</mi> <mrow> <mi>m</mi> <mi>a</mi><mi>x</mi> </mrow> </msub></math>",MathML,1.0,"For a number of points (N), the measured positions are given as as xmi , ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding set of coordinates, xti , yti and zti are considered to represent the true positions. 
All positional uncertainties above a defined threshold are then counted as error."
