measureDescriptionID,sequence,extendedDescription,formula,textDescription
MD1,,,,The value true indicates that the item is in excess.
MD1e,,,,"True (a house is present in the dataset, but does not exists in the universe of discourse)."
MD2,,,,Count number of item present in the dataset which does not exists in the universe of discourse.
MD2e,,,,2 (12 houses are in the data set although only 10 exist within the universe of discourse).
MD2bme,,,,0.0189
MD3,,,,Divide excess items in relation to number of items in the universe of discourse.
MD3e,,,,10 % (The data set has 10 % more houses than the universe of discourse).
MD4,,"4_1.png
4_2.png
4_3.png",,Count of all items in the data that are incorrectly extracted with duplicate geometries.
MD4e,,"4e_1.png
4e_2.png",,"Features with identical attribution and identical coordinates representing the same real object, for example: two (or more) points collected on top of each other.
D13288RZ.EPS two (or more) curves collected on top of each other
D13288SZ.EPS two (or more) surfaces collected on top of each other."
MD5,,-,-,The value true indicates that an item is missing.
MD5e,,-,-,"A data product specification requires all towers higher than 300 m to be captured. The data quality measure “missing item” allows a data quality evaluator or a data user to report that a specific item, in this case a feature of type “tower” (name depends on the application schema), is missing.
Data quality scope: all towers with height > 300
Example result of a completeness evaluation of a particular data set:
missing item = true for
tower.name = “Eiffel Tower, Paris, France""
tower.name = “Beijing Tower, Beijing, China”"
MD6,,,,Count number of item not present in the dataset which exists in the universe of discourse.
MD6e,,,,2 (10 houses are in the data set although 12 exist within the universe of discourse).
MD7,,,,Divide number of item not present in the dataset in relation to number of items in the universe of discourse.
MD7e,,,,"Example 1: 10 % (The data set has 10 % less houses than the universe of discourse).
Example 2: 6,6% of all pixels in the scene is clouded with no ground information."
MD8,,,,The value true indicates that an item is not compliant with the rules of the conceptual schema.
MD8e,,,,True (One feature relationship exists which is not defined in the conceptual schema).
MDbm4,,,,Boolean value expressing the item is not indicated as an error.
MD9,,,,True indicates that an item is in compliance with the rules of the conceptual schema.
MD10,,,,"If the conceptual schema explicitly or implicitly describes rules, these rules shall be followed. Violations against such rules can be, for example, invalid placement of features within a defined tolerance, duplication of features and invalid overlap of features."
MD10e,,"10e_1.png
10e_2.png
10e_3.png
10e_4.png",,"Example 1: Towers with identical attribution and within search tolerance (search tolerance = 10 m)
Example 2: Bridge has invalid Transportation. Use Category of Road
Example 3: Invalid placement of Airport inside a Lake
Example 4: Invalid overlap of area feature Lake within line feature Railroad
Key: 1. Bridge 2.  Railroad 3. Lake 4. Airport"
MD11,,,,"Which surfaces may overlap and which shall not is application dependent. Not all overlapping surfaces are necessarily erroneous. When reporting this data quality measure, the types of feature classes corresponding to the illegal overlapping surfaces shall be reported as well. 
See also Complete tessellation: https://standards.isotc211.org/19157/-3/1/dqc/content/measureDescription/MD204"
MD11e,,11e.png,,"Search for surfaces that are not allowed to overlap according to the conceptual schema. In this case, forest and built-up-area are not allowed to overlap."
MD12,,,,The value indicates number of items in the dataset that are not compliant with the rules of the conceptual schema in relation to the total number of these items supposed to be in the dataset.
MD12e,,,,"0.02 (in a test area there is 227 objects coded as living houses in the dataset but in the universe of discourse there are 231 objects that should be coded as living houses, 4 of them was coded as farm buildings)."
MD13,,,,Conceptual schema describes the rules and content of the dataset.
MD13e,,,,99.8 % (in the dataset there is 1005 items of 1007 items correct stored in compliance with the conceptual schema).
MD14,,,,The value true indicates that an item is not in conformance with its value domain.
MD14e,,,,"True – a feature with attribute colour has the value ‘blau’, but it does not exist in the specified value domain: red, green, blue, yellow."
MD 15,,,,True indicates that all items is in conformance with its value domain.
MD15e,,,,"All dates are correct according to their month rules of probable number of days, e.g.  No 29 February in a non-leap year, no 31 April 31 are allowed values."
MD16,,,,Conceptual schema describes valid values in the domain.
MD17,,,,Conceptual schema describes valid values in the domain.
MD17e,,,,"100 % (scope: attributes road width and speed limit for roads, are within the value domain)."
MD18,,,,Conceptual schema describes valid values in the domain.
MD18e,,,,"10% (Domain of a ‘buildingType’ attribute is defined as the following set of values {1,2,0}; 10 out of 100 ‘building’ objects contain value ‘X’ in ‘buildingType’ attribute)."
MD19,,,,Conceptual schema describes the physical structure.
MD19e,,,,5 (5 living quarters type code is coded on more than 3 characters although the requirement in data product specification is 3).
MD20,,,,Conceptual schema describes the physical structure.
MD21,,,,"A point-curve connection exists where different curves touch. These curves have an intrinsic topological relationship that shall reflect the true constellation. If the point-curve connection contradicts the universe of discourse, the point-curve connection is faulty with respect to this data quality measure. The data quality measure counts the number of errors of this kind."
MD21e,,"21e_1.png
21e_2.png",,"Count the number of wrong curve connections - e.g. two-point curve connections exist where only one should be present, or count all curves with more than the threshold value of 500 vertices (in which system automatically places point-curve based on vertices limitation built into software code where no spatial justification for point-curve exists).
"
MD22,,,,"A point-curve connection exists where different curves touch. These curves have an intrinsic topological relationship that shall reflect the true constellation. If the point-curve connection contradicts the universe of discourse, the point-curve connection is faulty with respect to this data quality measure. This data quality measure gives the erroneous point-curve connections in relation to the total number of point-curve connections."
MD23,,,,Search distance as defined in the specification.
MD23e,,23e.png,,Key: 1) search distance = 3 m
MD24,,,,Search distance as defined in the specification.
MD24e,,24e.png,,A road must have a length at least 3 meters. Key: 1) search distance = 3 m
MD25,,,,Sliver is an unintended area that occurs when adjacent surfaces are not digitized properly. The borders of the adjacent surfaces may unintentionally gap or overlap by small amounts to cause a topological error.
MD25e_1,,25e_1.png,,"48 (count double line drain and slivers that do not fulfil the threshold values set by thinness ratio and maximum sliver area).
Key: 1) Single line drain
2) Double line drain
a) Maximum area parameter prevents correct double line drain portrayal from being flagged as an error"
MD25e_2,,25e_2.png,,"Key: 1) Sand
2) Sliver
3) Double line drain
b) The sliver is less than the maximum parameter and is flagged for evaluation of possible error."
MD26,,,,Topological rules as defined in the specification.
MD26e,,26e.png,,"Key: 1) Building 1
2) illegal intersection (loop)"
MD27,,,,Topological rules as defined in the specification.
MD27e,,27e.png,,"324 (count road segment with overlap by other road segment)
Key: a) vertices"
MD28,1.0,-,FT28_1,"For a number of points (N), the measured positions are given as xmi, ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding coordinates xti, yti and zti are considered to represent true positions."
MD28,2.0,,FT28_2,"For a number of points (N), the measured positions are given as xmi, ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding coordinates xti, yti and zti are considered to represent true positions."
MD28,3.0,,FT28_3,"For a number of points (N), the measured positions are given as xmi, ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding coordinates xti, yti and zti are considered to represent true positions."
MD28,4.0,,FT28_4,"For a number of points (N), the measured positions are given as xmi, ymi and zmi coordinates depending on the dimension in which the position of the point is measured. A corresponding coordinates xti, yti and zti are considered to represent true positions."
MD28e,,-,-,0.054 meter
MD29,1.0,-,FT29_1,"The calculation of ei is given by MD28_1, MD28_2 and MD28_3 in one, two and three dimensions. "
MD29,2.0,,FT29_2,"A criterion for the establishing of correspondence should also be stated (e.g. allowing for correspondence to the closest position, correspondence on vertices or along lines). The criteria for finding the corresponding points shall be reported with the data quality evaluation result."
