basicMeasureID,Name,Definition,description,example,ValueType,Unnamed: 6
BM1,error indicator,Indicator that an item is in error.,MDBM1,False,Boolean,
BM2,error rate,Number of the erroneous items with respect to the total number of items that should have been present.,MDBM2,MD2bme,Real,
BM3,error count,Total number of items that are subject to an error of a specified type.,MDBM3,11,Integer,
BM4,correctness indicator,Indicator that an item is correct.,MDBM4,True,Boolean,
BM5,correct items count,Total number of items that are free of errors of a specified type.,MDBM5,571,Integer,
BM6,correct items rate,Number of the correct items with respect to the total number of items that should have been present.,MDBM6,0.9811,Real,
LE50,One dimensional variable 50 % probability,Confidence interval given by the probability P=50 % of the true value being between the lower and upper limit.,MDsd1_LE50,,Measure,
LE50r1,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 1 redundant measurement.,MDsd2_LE50r1,,Measure,
LE50r2,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 2 redundant measurements.,MDsd2_LE50r2,,Measure,
LE50r3,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 3 redundant measurements.,MDsd2_LE50r3,,Measure,
LE50r4,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 4 redundant measurements.,MDsd2_LE50r4,,Measure,
LE50r5,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 5 redundant measurements.,MDsd2_LE50r5,,Measure,
LE50r10,One dimensional variable 50 % probability redundancy,Confidence interval for probability P=50 % derived from t-distribution by 10 redundant measurements.,MDsd2_LE50r10,,Measure,
LE68.3,"One dimensional variable 68,3 % probability","Confidence interval given by the probability P=68,3 % of the true value being between the lower and upper limit",MDsd1_LE68.3,,Measure,
LE68.3r1,"One dimensional variable 68,3 % probability redundancy","Confidence interval for probability P=68,3 % derived from t-distribution by 1 redundant measurement.",MDsd2_LE68.3r1,,Measure,
LE68.3r2,"One dimensional variable 68,3 % probability redundancy","Confidence interval for probability P=68,3 % derived from t-distribution by 2 redundant measurements.",MDsd2_LE68.3r2,,Measure,
